Company Name,Brand Name,Model,Series,Product Type,Screen Type,Screen Size,Screen Area (sq. inches),Resolution,Auto- matic Bright- ness Control?,Is Automatic Brightness Control enabled by default when Television is shipped?,On Mode Power (watts),Maximum On Mode Power for Qual- ification (watts),Sleep Mode Power (watts),Maximum Sleep Mode Power for Qual- ification (watts),Lum- inance in Default Mode as Shipped (cd/m2),Lum- inance in Brightest Selectable Preset Mode (cd/m2),Average Download Acqui- sition Mode (DAM) Energy (Wh/day),Maximum DAM Energy for Qual- ification (Wh/ day), Typical Electricity Con- sumption (TEC) for Hospitality TVs (W-h/day),Maxi- mum Allowed TEC for Hospi- tality TVs (W-h/day),Estimated Annual Energy Con- sumption (kWh/ year),Date Qualified
"Hisense Electric Co., Ltd.",Hisense,LED LCD TV,F40K26EW,Television (TV),LCD,40,684,1920 x 1080,No,No,72.75,75.44,0.28,1,176.4,262.5,N/A,,,,134.71,11/21/2011 08:00:00 AM +0000
"Hisense Electric Co., Ltd.",Hisense,LCD TV,H32K26E,Television (TV),LCD,32,424,1366 x 768,No,No,41.91,53.6,0.4,1,306.3,373.8,N/A,,,,79.26,10/12/2011 07:00:00 AM +0000
"Hisense Electric Co., Ltd.",Hisense,LED LCD TV,F46K20E,Television (TV),LCD,46,904,1920 x 1080,No,No,75.48,93.92,0.3,1,283.5,295.4,N/A,,,,139.8,01/19/2012 08:00:00 AM +0000
"Hitachi, Ltd.",Hitachi,LE42S605,LE42S605,Television (TV),LCD,42,754,1920 x 1080,No,No,71.2,81.3,0.3,1,266,343,N/A,,,,132,07/05/2011 07:00:00 AM +0000
"Hitachi, Ltd.",Hitachi,LE46S605,LE46S605,Television (TV),LCD,46,906,1920 x 1080,No,No,80.9,94.1,0.3,1,250,360,N/A,,,,149.7,07/05/2011 07:00:00 AM +0000
"Hitachi, Ltd.",Hitachi,19WLEDTV60,L19A105,Television (TV),LCD,19,146,1366 x 768,No,No,21.2,24,0.166,1,150,176,N/A,,,,39.841,06/28/2011 07:00:00 AM +0000
"Hitachi, Ltd.",Hitachi,40WLCDTV69,L40A105E,Television (TV),LCD,40,684,1920 x 1080,No,No,69.3,75.4,0.18,1,278,332,N/A,,,,127721,02/13/2012 08:00:00 AM +0000
"Hitachi, Ltd.",Hitachi,32WLED TV71,LE32S305,Television (TV),LCD,32,424,1366 x 768,No,No,52.1,,0.281,1,363,366,N/A,,,,97.03,09/02/2011 07:00:00 AM +0000
"Hitachi, Ltd.",Hitachi,40WLCDTV69,L40A105,Television (TV),LCD,40,684,1921 x 1080,No,No,71.1,75.4,0.175,1,325.9,354.9,N/A,,,,130.971,08/12/2011 07:00:00 AM +0000
"Hitachi, Ltd.",Hitachi,26WLCD/DVD69,L26D205A,TV Combination Unit,LCD,26,289,1366 x 768,No,No,36.1,42.2,0.232,1,277,333,N/A,,,,67.491,09/15/2011 07:00:00 AM +0000
